text,date,id,in_reply_to_status_id
"  Se solo avessi il sentore che il voto a te servisse, giuro..te lo darei. E invece..",2022-09-23T19:39:03.000Z,1571757244265467904,1573396547924008960
"  Volete sempre imporre il vostro punto di vista, non siete la verità e stavolta vi può salvare solo Bruxelles togliendo la democrazia",2022-09-23T19:22:21.000Z,1545852290887827458,1573392343482466315
  Ma cosa ha fatto di preciso questa destra per essere pericolosa e illiberale,2022-09-23T18:49:08.000Z,204041863,1573383983119081474
  Tu sei il male assoluto,2022-09-23T16:47:23.000Z,1349400081456365569,1573353344671817728
  Bella foto ricordo.,2022-09-23T16:26:46.000Z,1451135819763290118,1573348155441270785
  ,2022-09-23T11:28:23.000Z,1433079203008851969,1573273065210912770
  ,2022-09-23T11:27:42.000Z,1433079203008851969,1573272893575790592
  Si certo prepara le valigie,2022-09-22T21:40:57.000Z,1451710717837680641,1573064833699815430
"  STOP...

A VOI TUTTI..

LIBERIAMO ROMA DA QUESTI BURATTINI A PAGAMENTO....",2022-09-22T20:45:35.000Z,1485987954388606979,1573050901631488001
"  Ma così poi la criminalità organizzata non guadagna, e di conseguenza non guadagnano i suoi fiancheggiatori: 'nzepo' ffa'.",2022-09-22T17:22:29.000Z,1057224530069016576,1572999788202983425
  Sta stronza,2022-09-22T17:12:27.000Z,1485987954388606979,1572997266939445250
  Emma con rispetto del passato vai in pensione,2022-09-22T16:15:08.000Z,1521043509771485184,1572982840312188930
  ,2022-09-22T14:39:17.000Z,1433079203008851969,1572958720589430785
"
 
There are several glaciers in Gilgit Baltistan, and the CPEC route's significant traffic flow has an effect on the glaciers nearby. #ChinaDestroyingGilgitBaltistan #PakistanOccupiedGilgitBaltistan ",2022-09-22T12:25:56.000Z,1561613039329169408,1572925161514602497
"  Forse tu puoi riportare il senno, con una pompa della bicicletta...",2022-09-22T10:55:48.000Z,1553116095778889728,1572902476898078721
  IN AMERICA C'E' LA PENA DI MORTE,2022-09-22T10:26:20.000Z,719726726,1572895062882746369
  Ma seriamente sta dicendo che regolarizzare i lavoratori stranieri?,2022-09-22T05:34:03.000Z,314610399,1572821505561755648
 E intanto fa di tutto per mettere in difficoltà la Meloni. Patetica,2022-09-22T04:56:28.000Z,1426435139144404992,1572812048601579521
" Teh Emma, el Bissi ga dit che sta cu te, se passa Chella legge della Maria!!  Se fum??? Op op, dátte da fá!",2022-09-21T19:57:21.000Z,121560774,1572676375479484418
 È venuto il momento di pensare a noi...,2022-09-21T14:59:07.000Z,1553116095778889728,1572601324373692417
 Non basta essere dalla loro parte andate in Iran e Afghanistan e in tutto il mondo  combattere insieme a loro per la libertà le parole sono vento,2022-09-21T14:14:07.000Z,1473396764359245836,1572589996670066690
 fannullone mi hai Convinto io e la mia famiglia di 14 persone votiamo GIUSEPPE CONTE,2022-09-21T08:59:55.000Z,1433159761,1572510925940477957
 ,2022-09-21T08:56:09.000Z,1540740958395895809,1572509979911024640
 Si prima le bombardare x esportare la vostra DEMOCRAZIA POI DIETE AL LORO FIANCO... SINCERAMENTE FAI VOMITARE,2022-09-20T16:43:16.000Z,1457742396385595401,1572265145694404611
" Signora Bonino , Lei ha pienamente ragione , ma le ricordo che in Italia ci sono 6.000.000 di poveri . Se mettiamo a punto questa Italia, poi potremmo dedicare una parte del nostro tempo ad aiutare TUTTI GLI ALTRI.",2022-09-20T15:07:43.000Z,509675119,1572241101129658369
"
 
CCP is less dedicated to fighting terrorism &amp; more inclined to want to use Pakistani terrorism as a means of harassing other nations &amp; to rise to the power and become the supreme world power. #ChinaBackingTerrorists #ChinaPakistanNexus ",2022-09-20T10:07:56.000Z,1561613039329169408,1572165656933724163
  Vedrai il 25 ci facciamo 2 risate,2022-09-19T11:19:19.000Z,1451710717837680641,1571821232319856640
's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,2022-09-19T07:42:32.000Z,1571738850715750408,1571766677250908160
" I Buongiorno io sono un dipendente pubblico dopo 43 anni di servizio devo aspettare 5 anni per ricevere il TFR/TFS Se voglio l’anticipo devo fare un finanziamento (sulla mia liquidazione) 
Non c’è nessuno politico che parla di questo problema",2022-09-18T11:37:47.000Z,1569964771167838209,1571463493043490817
" io da sempre non ti do il voto perché come politica sei inutile,lo dimostra il fatto della tua manifestazione a favore dell'Ukraina quando i Curdi e gli Yemeniti compreso i disoccupati Italiani per quanto mi riguarda sei solo una politica Inutile senza idee",2022-09-18T05:41:11.000Z,1459211959941963778,1571373751962402816
  Voterò per te,2022-09-15T18:49:22.000Z,1241671585313980416,1570484940818776064
"  Ma si vergogni!!!! L'amica di Soros, quello che ha speculato per mettere in ginocchio l'Italia. DOVETE SCOMPARIRE!!! Viene da vomitare. #Piufuoridaquestaeuropa
Ora più che mai",2022-09-15T14:38:42.000Z,1568551183513489409,1570421855974035457
"
  
The Pashtun civil rights movement is being violently suppressed by the Pakistani military in the northwest tribal area as part of its ongoing ruthless suppression of ethnic movements. #PakistanTorturesPashtuns
  ",2022-09-15T10:56:02.000Z,1564208982960394240,1570365822668869632
 Dare impegni al proprio progetto di vita è affacciarsi sul mare da un porto che raccoglie le onde e le navi dei tanti turisti che aspettano con gioia di vivere una vacanza. Come bambini nella semplicità. Poi da grandi al lavoro. Auguri Emma. Salutoni con affetto,2022-09-14T14:17:29.000Z,1058042599762808832,1570054132156751877
   Taxi del mare,2022-09-14T11:34:49.000Z,1451710717837680641,1570013193392504837
   Per evitare basta chiudere i porti,2022-09-14T09:33:28.000Z,1519665205336322048,1569982653859872769
"
 
Despite numerous instances of historical upheaval, many Hindu families remained in Balochistan and have kept their social and religious customs alive there. #HindusOfPakistan #HumanityFirst ",2022-09-14T09:18:06.000Z,1561613039329169408,1569978787416408064
